proto,state,recv_q,send_q,local_addr,local_port,peer_addr,peer_port,pid,process,exe,user,container,source
u_str,LISTEN,0,5,/var/run/auoms/input.socket,102991309,*,0,4148,auoms,/opt/microsoft/auoms/bin/auoms,root,,ss_-anp.txt
u_str,LISTEN,0,128,/run/lvm/lvmpolld.socket,13496,*,0,1,systemd,/lib/systemd/systemd,root,,ss_-anp.txt
u_str,LISTEN,0,128,/run/systemd/fsck.progress,13500,*,0,1,systemd,/lib/systemd/systemd,root,,ss_-anp.txt
u_str,LISTEN,0,128,/run/systemd/journal/stdout,13508,*,0,"1,27623",systemd-journal,"/lib/systemd/systemd,/lib/systemd/systemd-journald",root,,ss_-anp.txt
u_dgr,UNCONN,0,0,/run/systemd/journal/socket,13510,*,0,"1,27623",systemd-journal,"/lib/systemd/systemd,/lib/systemd/systemd-journald",root,,ss_-anp.txt
u_str,LISTEN,0,128,/run/lvm/lvmetad.socket,13852,*,0,"1,447",lvmetad,"/lib/systemd/systemd,/sbin/lvmetad",root,,ss_-anp.txt
u_str,LISTEN,0,5,/var/run/auoms/status.socket,102991292,*,0,4148,auoms,/opt/microsoft/auoms/bin/auoms,root,,ss_-anp.txt
u_dgr,UNCONN,0,0,/run/systemd/journal/syslog,14006,*,0,"1,31957",rsyslogd,"/lib/systemd/systemd,/usr/sbin/rsyslogd","root,syslog",,ss_-anp.txt
u_str,LISTEN,0,128,/var/lib/lxd/unix.socket,18679,*,0,1,systemd,/lib/systemd/systemd,root,,ss_-anp.txt
u_str,LISTEN,0,128,@ISCSIADM_ABSTRACT_NAMESPACE,18666,*,0,1,systemd,/lib/systemd/systemd,root,,ss_-anp.txt
u_str,LISTEN,0,1024,/var/opt/microsoft/omsagent/00000000-0000-4000-8000-000000000001/run/auoms.socket,49309690,*,0,828,omsagent,/opt/microsoft/omsagent/ruby/bin/ruby,omsagent,,ss_-anp.txt
u_str,LISTEN,0,15,/var/opt/omi/run/omiserver.sock,102128877,*,0,22101,omiengine,/opt/omi/bin/omiengine,omi,,ss_-anp.txt
