depth,tree,pid,ppid,user,start_utc,elapsed,container,children,hidden,cmdline,note
1,* ext4-rsv-conver,362,2,root,2021-10-09 15:06:12,60-03:45:20,,,,[ext4-rsv-conver],
1,* iscsi_eh,438,2,root,2021-10-09 15:06:14,60-03:45:18,,,,[iscsi_eh],
1,* ib-comp-wq,448,2,root,2021-10-09 15:06:14,60-03:45:18,,,,[ib-comp-wq],
1,* ib-comp-unb-wq,449,2,root,2021-10-09 15:06:14,60-03:45:18,,,,[ib-comp-unb-wq],
1,* ib_mcast,451,2,root,2021-10-09 15:06:14,60-03:45:18,,,,[ib_mcast],
1,* ib_nl_sa_wq,453,2,root,2021-10-09 15:06:14,60-03:45:18,,,,[ib_nl_sa_wq],
1,* rdma_cm,455,2,root,2021-10-09 15:06:14,60-03:45:18,,,,[rdma_cm],
1,* hv_balloon,477,2,root,2021-10-09 15:06:15,60-03:45:17,,,,[hv_balloon],
1,* none,609,2,root,2021-10-09 15:06:17,60-03:45:15,,,,bpfilter_umh,
1,* jbd2/sda1-8,993,2,root,2021-10-09 15:06:25,60-03:45:07,,,,[jbd2/sda1-8],
1,* ext4-rsv-conver,994,2,root,2021-10-09 15:06:25,60-03:45:07,,,,[ext4-rsv-conver],
1,* audit_prune_tre,2447,2,root,2021-10-09 15:07:16,60-03:44:16,,,,[audit_prune_tre],
1,* kworker/u2:0-events_power_efficient,4674,2,root,2021-12-08 18:49:09,02:23,,,,[kworker/u2:0-ev],
1,* xfsalloc,12395,2,root,2021-10-13 06:46:48,56-12:04:44,,,,[xfsalloc],
1,* xfs_mru_cache,12403,2,root,2021-10-13 06:46:48,56-12:04:44,,,,[xfs_mru_cache],
1,* jfsIO,12408,2,root,2021-10-13 06:46:48,56-12:04:44,,,,[jfsIO],
1,* jfsCommit,12409,2,root,2021-10-13 06:46:48,56-12:04:44,,,,[jfsCommit],
1,* jfsSync,12410,2,root,2021-10-13 06:46:48,56-12:04:44,,,,[jfsSync],
1,* kworker/u2:1-events_power_efficient,17280,2,root,2021-12-08 18:19:36,31:56,,,,[kworker/u2:1-ev],
1,* kworker/u2:3-events_power_efficient,19986,2,root,2021-12-08 17:28:38,01:22:54,,,,[kworker/u2:3-ev],
1,* kworker/0:1-cgroup_destroy,22463,2,root,2021-12-08 15:49:39,03:01:53,,,,[kworker/0:1-cgr],
1,* kworker/0:0-events,28904,2,root,2021-12-08 17:45:08,01:06:24,,,,[kworker/0:0-eve],
1,* kworker/u2:2-events_power_efficient,32156,2,root,2021-12-08 18:42:23,09:09,,,,[kworker/u2:2-ev],
0,ps,7206,,root,,,,,,ps auxwww,
0,ps,7656,,root,,00:00,,,,"ps -eo pid,user,etime,args",
0,ps,7746,,root,2021-12-08 18:51:34,,,,,"ps -eo pid,user,lstart,args",
0,dash,7755,,,,,,,,,
0,lsof,7978,,,,,,,,,
0,lsof,7984,,,,,,,,,
0,sleep,8078,,daemon,,,,,,,
0,sleep,8081,,daemon,,,,,,,
0,uac,8089,,root,,,,,,,
0,top,8295,,root,,,,,,,
0,uac,8385,,root,,,,,,/bin/sh ./uac full linux output,
0,auomscollect,9278,,,,,,,,/opt/microsoft/auoms/bin/auomscollect,
0,?,3991,,,,,,,,,"listed in hash_running_processes, named by nothing"
