timestamp_utc,kind,user,source_host,source_ip,port,terminal,service,method,detail,logged_by,source
2021-12-01 10:10:37,failed login,user,198.18.3.146,198.18.3.146,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 10:13:42,failed login,user,198.18.0.113,198.18.0.113,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 10:14:23,failed login,user,198.18.0.12,198.18.0.12,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 10:27:05,failed login,user,198.18.4.110,198.18.4.110,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 10:30:59,failed login,user,198.18.0.139,198.18.0.139,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 11:20:43,failed login,user,198.18.1.62,198.18.1.62,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 11:52:10,failed login,user,198.18.0.112,198.18.0.112,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 11:53:19,failed login,user,198.18.0.112,198.18.0.112,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 11:54:27,failed login,user,198.18.0.112,198.18.0.112,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 12:05:12,failed login,user,198.18.0.72,198.18.0.72,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 12:13:24,failed login,,198.18.0.103,198.18.0.103,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 13:18:20,failed login,user,198.18.0.93,198.18.0.93,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 13:23:35,failed login,user,198.18.0.112,198.18.0.112,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 13:24:47,failed login,user,198.18.0.112,198.18.0.112,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 13:25:56,failed login,user,198.18.0.112,198.18.0.112,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 13:38:10,failed login,user,198.18.0.7,198.18.0.7,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
