path,host_path,top_level,category,size_bytes,size_human,parsed_into
[root]/etc/apt/apt.conf.d/15update-stamp,/etc/apt/apt.conf.d/15update-stamp,[root],host filesystem copy,109,109 B,INIT_AND_PROFILE
[root]/etc/apt/apt.conf.d/20apt-esm-hook.conf,/etc/apt/apt.conf.d/20apt-esm-hook.conf,[root],host filesystem copy,619,619 B,INIT_AND_PROFILE
[root]/etc/apt/apt.conf.d/20archive,/etc/apt/apt.conf.d/20archive,[root],host filesystem copy,88,88 B,INIT_AND_PROFILE
[root]/etc/apt/apt.conf.d/20auto-upgrades,/etc/apt/apt.conf.d/20auto-upgrades,[root],host filesystem copy,82,82 B,INIT_AND_PROFILE
[root]/etc/apt/apt.conf.d/20snapd.conf,/etc/apt/apt.conf.d/20snapd.conf,[root],host filesystem copy,115,115 B,INIT_AND_PROFILE
[root]/etc/apt/apt.conf.d/50command-not-found,/etc/apt/apt.conf.d/50command-not-found,[root],host filesystem copy,641,641 B,INIT_AND_PROFILE
[root]/etc/apt/apt.conf.d/50unattended-upgrades,/etc/apt/apt.conf.d/50unattended-upgrades,[root],host filesystem copy,3892,3.8 KB,INIT_AND_PROFILE
[root]/etc/apt/apt.conf.d/70debconf,/etc/apt/apt.conf.d/70debconf,[root],host filesystem copy,185,185 B,INIT_AND_PROFILE
[root]/etc/apt/apt.conf.d/99update-notifier,/etc/apt/apt.conf.d/99update-notifier,[root],host filesystem copy,307,307 B,INIT_AND_PROFILE
[root]/etc/apt/sources.list,/etc/apt/sources.list,[root],host filesystem copy,3297,3.2 KB,ETC_CONFIGS
[root]/etc/apt/sources.list.d/elastic-7.x.list,/etc/apt/sources.list.d/elastic-7.x.list,[root],host filesystem copy,67,67 B,ETC_CONFIGS
[root]/etc/apt/trusted.gpg,/etc/apt/trusted.gpg,[root],host filesystem copy,1220,1.2 KB,
[root]/etc/apt/trusted.gpg.d/ubuntu-keyring-2012-archive.gpg,/etc/apt/trusted.gpg.d/ubuntu-keyring-2012-archive.gpg,[root],host filesystem copy,2796,2.7 KB,
